"","employee","salary.2014","salary.2015","raise","got.raise"
"1","Employee 1",46020.8574659191,48113.7828039937,2092.92533807456,TRUE
"2","Employee 2",49279.3307872489,47774.8799044639,-1504.45088278502,FALSE
"3","Employee 3",48959.9832077511,50161.8676935323,1201.88448578119,TRUE
"4","Employee 4",46505.7806600817,47553.3498078585,1047.56914777681,TRUE
"5","Employee 5",42487.8592113964,39415.9534969367,-3071.90571445972,FALSE
"6","Employee 6",41773.2791649178,42269.9504648335,496.671299915761,TRUE
"7","Employee 7",40462.0754276402,37128.0979947187,-3333.97743292153,FALSE
"8","Employee 8",48041.3931654766,47381.4139491878,-659.979216288775,FALSE
"9","Employee 9",48614.6054603159,50998.2545953244,2383.64913500845,TRUE
"10","Employee 10",45599.6542656794,45336.9742073119,-262.68005836755,FALSE
"11","Employee 11",45643.4358889237,45755.8622956276,112.426406703889,TRUE
"12","Employee 12",46790.4738872312,42972.5534026511,-3817.9204845801,FALSE
"13","Employee 13",45638.3330561221,50470.4229370691,4832.08988094702,TRUE
"14","Employee 14",41763.4386615828,45174.1328719072,3410.69421032444,TRUE
"15","Employee 15",40297.1024205908,42166.0785959102,1868.9761753194,TRUE
"16","Employee 16",48215.1704654098,44898.5489550978,-3316.62151031196,FALSE
"17","Employee 17",47648.7162942067,44230.7540006004,-3417.96229360625,FALSE
"18","Employee 18",43253.9319316857,39967.98933018,-3285.94260150567,FALSE
"19","Employee 19",42918.7769046985,47516.5726267733,4597.79572207481,TRUE
"20","Employee 20",49577.0505862311,47370.4561660998,-2206.5944201313,FALSE
"21","Employee 21",48698.9764100872,48095.895613078,-603.08079700917,FALSE
"22","Employee 22",49007.261255756,49381.6955969669,374.434341210872,TRUE
"23","Employee 23",41918.0851150304,36941.7928555049,-4976.29225952551,FALSE
"24","Employee 24",45464.873847086,41468.6539187096,-3996.21992837638,FALSE
"25","Employee 25",45468.3221154846,45886.9503252208,418.628209736198,TRUE
"26","Employee 26",40752.2712741047,36761.7574473843,-3990.51382672042,FALSE
"27","Employee 27",48802.8070074506,47960.8035390265,-842.003468424082,FALSE
"28","Employee 28",45584.6971459687,46920.163393952,1335.46624798328,TRUE
"29","Employee 29",47259.9098063074,46051.2528684922,-1208.65693781525,FALSE
"30","Employee 30",48117.6177877933,43632.7945697121,-4484.82321808115,FALSE
"31","Employee 31",49462.3490842059,47174.0844403394,-2288.26464386657,FALSE
"32","Employee 32",41993.1880827062,46989.668821916,4996.4807392098,TRUE
"33","Employee 33",44837.5334916636,48572.6260719821,3735.09258031845,TRUE
"34","Employee 34",46219.7617045604,46823.9774764515,604.215771891177,TRUE
"35","Employee 35",45247.2209464759,43497.5517820567,-1749.66916441917,FALSE
"36","Employee 36",49203.8082191721,53321.5530193411,4117.74480016902,TRUE
"37","Employee 37",40535.926411394,41882.1624829434,1346.23607154936,TRUE
"38","Employee 38",42832.2961181402,44207.2771559469,1374.98103780672,TRUE
"39","Employee 39",43614.8728849366,47089.9429870769,3475.07010214031,TRUE
"40","Employee 40",44135.5627891608,39709.4138967805,-4426.1488923803,FALSE
"41","Employee 41",45576.5987443738,48153.2662501559,2576.6675057821,TRUE
"42","Employee 42",47506.8172556348,49920.0798408128,2413.26258517802,TRUE
"43","Employee 43",44826.8412821926,42815.9869369119,-2010.85434528068,FALSE
"44","Employee 44",47264.1747281887,51860.4130460881,4596.23831789941,TRUE
"45","Employee 45",42137.1036279015,45523.3735684305,3386.26994052902,TRUE
"46","Employee 46",47871.5172596276,45457.9320945777,-2413.58516504988,FALSE
"47","Employee 47",42660.5677371845,43141.5876443498,481.019907165319,TRUE
